Time,Anomaly,Anomaly_Score,Point_Anomaly,Contextual_Anomaly,Collective_Anomaly,Context_Info
0.0,False,-0.36347136,False,False,False,
0.0009999999999999,False,-0.36572266,False,False,False,
0.0019999999999999,False,-0.3625121,False,False,False,
0.0029999999999999,False,-0.36307058,False,False,False,
0.004,False,-0.36365625,False,False,False,
0.005,False,-0.36347136,False,False,False,
0.006,False,-0.36347136,False,False,False,
0.007,False,-0.36347136,False,False,False,
0.008,False,-0.36347136,False,False,False,
0.009,False,-0.36347136,False,False,False,
0.01,False,-0.36347136,False,False,False,
0.011,False,-0.36347136,False,False,False,
0.012,True,5.5899215,True,False,False,
0.013,False,1.4435389,False,False,False,
0.014,False,1.1771108,False,False,False,
0.015,False,1.4112848,False,False,False,
0.016,False,0.7255884,False,False,False,
0.017,False,0.3313009,False,False,False,
0.018,False,0.25011036,False,False,False,
0.019,False,0.5236469,False,False,False,
0.02,False,0.2811124,False,False,False,
0.021,False,-0.18176736,False,False,False,
0.022,False,-0.20763555,False,False,False,
0.023,False,-0.18415204,False,False,False,
0.024,False,-0.22904576,False,False,False,
0.025,False,-0.2449372,False,False,False,
0.026,False,-0.27091882,False,False,False,
0.027,False,-0.31464732,False,False,False,
0.028,False,-0.2608325,False,False,False,
0.029,False,-0.27617055,False,False,False,
0.03,False,-0.33668166,False,False,False,
0.031,False,-0.34390765,False,False,False,
0.032,False,-0.33961287,False,False,False,
0.033,False,-0.32211766,False,False,False,
0.034,False,-0.3397082,False,False,False,
0.035,False,-0.33019736,False,False,False,
0.036,False,-0.33035696,False,False,False,
0.037,False,-0.33865577,False,False,False,
0.038,False,-0.3242681,False,False,False,
0.039,False,-0.3562605,False,False,False,
0.04,False,-0.3369346,False,False,False,
0.041,False,-0.34092593,False,False,False,
0.042,False,-0.36111894,False,False,False,
0.043,False,-0.3420955,False,False,False,
0.044,False,-0.35341182,False,False,False,
0.045,False,-0.3450162,False,False,False,
0.046,False,-0.3435434,False,False,False,
0.047,False,-0.36142355,False,False,False,
0.048,False,-0.3564419,False,False,False,
0.049,False,-0.36296272,False,False,False,
0.05,False,-0.36521697,False,False,False,
0.0510000000000001,False,-0.36185905,False,False,False,
0.052,False,-0.36176968,False,False,False,
0.053,False,-0.35915574,False,False,False,
0.0540000000000001,False,-0.36348033,False,False,False,
0.0550000000000001,False,-0.36562067,False,False,False,
0.0560000000000001,False,-0.3628881,False,False,False,
0.0570000000000001,False,-0.36318356,False,False,False,
0.0580000000000001,False,-0.3637812,False,False,False,
0.0590000000000001,False,-0.36572462,False,False,False,
0.0600000000000001,False,-0.36379793,False,False,False,
0.0610000000000001,False,-0.36208197,False,False,False,
0.0620000000000001,False,-0.36298206,False,False,False,
0.0630000000000001,False,-0.36322245,False,False,False,
0.0640000000000001,False,-0.3663749,False,False,False,
0.0650000000000001,False,-0.3660069,False,False,False,
0.0660000000000001,False,-0.36590895,False,False,False,
0.0670000000000001,False,-0.3667827,False,False,False,
0.0680000000000001,False,-0.36462158,False,False,False,
0.0690000000000001,False,-0.36550558,False,False,False,
0.0700000000000001,False,-0.36620247,False,False,False,
0.0710000000000001,False,-0.36641446,False,False,False,
0.0720000000000001,False,-0.36720583,False,False,False,
0.0730000000000001,False,-0.36624503,False,False,False,
0.0740000000000001,False,-0.36658698,False,False,False,
0.0750000000000001,False,-0.36705688,False,False,False,
0.0760000000000001,False,-0.36638677,False,False,False,
0.0770000000000001,False,-0.36664712,False,False,False,
0.0780000000000001,False,-0.3663591,False,False,False,
0.0790000000000001,False,-0.366588,False,False,False,
0.0800000000000001,False,-0.36703,False,False,False,
0.0810000000000001,False,-0.36694795,False,False,False,
0.0820000000000001,False,-0.36725286,False,False,False,
0.0830000000000001,False,-0.36684027,False,False,False,
0.0840000000000001,False,-0.36650926,False,False,False,
0.0850000000000001,False,-0.3665251,False,False,False,
0.0860000000000001,False,-0.36681163,False,False,False,
0.0870000000000001,False,-0.36725482,False,False,False,
0.0880000000000001,False,-0.36722088,False,False,False,
0.0890000000000001,False,-0.36714995,False,False,False,
0.0900000000000001,False,-0.3669351,False,False,False,
0.0910000000000001,False,-0.36678588,False,False,False,
0.0920000000000001,False,-0.36705536,False,False,False,
0.0930000000000001,False,-0.36697498,False,False,False,
0.0940000000000001,False,-0.3670644,False,False,False,
0.0950000000000001,False,-0.36708686,False,False,False,
0.0960000000000001,False,-0.36696672,False,False,False,
0.0970000000000001,False,-0.3671543,False,False,False,
0.0980000000000001,False,-0.36707833,False,False,False,
0.0990000000000001,False,-0.36695337,False,False,False,
0.1000000000000001,False,-0.3667537,False,False,False,
0.1010000000000001,False,-0.36654082,False,False,False,
0.1020000000000001,False,-0.36681738,False,False,False,
0.1030000000000001,False,-0.36703134,False,False,False,
0.1040000000000001,False,-0.3672772,False,False,False,
0.1050000000000001,False,-0.016484879,False,False,False,
0.1060000000000001,True,2.6262066,True,False,False,
0.1070000000000001,True,3.1118217,True,False,False,
0.1080000000000001,False,0.40919128,False,False,False,
0.1090000000000001,False,0.9003256,False,False,False,
0.1100000000000001,True,3.6173315,True,False,False,
0.1110000000000001,False,0.24775225,False,False,False,
0.1120000000000001,False,1.4451493,False,False,False,
0.1130000000000001,False,0.89541125,False,False,False,
0.1140000000000001,True,2.9554393,True,False,False,
0.1150000000000001,True,5.475628,True,False,False,
0.1160000000000001,True,4.0203166,True,False,False,
0.1170000000000001,False,1.7943232,False,False,False,
0.1180000000000001,False,1.6147568,False,False,False,
0.1190000000000001,False,0.27277973,False,False,False,
0.1200000000000001,False,0.26501137,False,False,False,
0.1210000000000001,False,1.0838311,False,False,False,
0.1220000000000001,True,6.2980905,True,False,False,
0.1230000000000001,True,9.680629,True,False,False,
0.1240000000000001,True,6.797312,True,False,False,
0.1250000000000001,False,2.1357744,False,False,False,
0.1260000000000001,False,1.1891226,False,False,False,
0.1270000000000001,False,0.21528645,False,False,False,
0.1280000000000001,False,-0.13236065,False,False,False,
